time,open,high,low,close,volume
2021-02-16 20:00:00,49.39,49.39,49.37,49.37,564
2021-02-16 19:59:00,49.31,49.35,49.31,49.35,663
2021-02-16 19:57:00,49.3,49.3,49.3,49.3,472
2021-02-16 19:56:00,49.28,49.28,49.28,49.28,404
2021-02-16 19:55:00,49.3,49.3,49.28,49.29,642
2021-02-16 19:54:00,49.35,49.35,49.34,49.34,626
2021-02-16 19:53:00,49.34,49.34,49.34,49.34,138
2021-02-16 19:52:00,49.3,49.3,49.3,49.3,653
2021-02-16 19:50:00,49.39,49.39,49.39,49.39,1176
2021-02-16 19:49:00,49.35,49.35,49.35,49.35,626
2021-02-16 19:48:00,49.33,49.35,49.33,49.35,1539
2021-02-16 19:47:00,49.35,49.35,49.3,49.3,1335
2021-02-16 19:44:00,49.3,49.3,49.3,49.3,130
2021-02-16 19:41:00,49.35,49.35,49.35,49.35,923
2021-02-16 19:39:00,49.28,49.28,49.28,49.28,237
2021-02-16 19:38:00,49.28,49.28,49.28,49.28,218
2021-02-16 19:37:00,49.37,49.37,49.37,49.37,218
2021-02-16 19:34:00,49.27,49.27,49.27,49.27,201
2021-02-16 19:30:00,49.3,49.3,49.3,49.3,439
2021-02-16 19:28:00,49.26,49.26,49.26,49.26,136
2021-02-16 19:21:00,49.3,49.3,49.3,49.3,206
2021-02-16 19:20:00,49.3,49.3,49.2501,49.2501,500
2021-02-16 19:18:00,49.25,49.25,49.25,49.25,400
2021-02-16 19:17:00,49.3,49.3,49.3,49.3,746
2021-02-16 19:13:00,49.4099,49.4099,49.4099,49.4099,1194
2021-02-16 19:12:00,49.4299,49.4299,49.4299,49.4299,1225
2021-02-16 19:08:00,49.31,49.31,49.31,49.31,1095
2021-02-16 19:00:00,49.4,49.4,49.4,49.4,172
2021-02-16 18:58:00,49.3,49.3,49.3,49.3,496
2021-02-16 18:56:00,49.35,49.35,49.35,49.35,145
2021-02-16 18:52:00,49.36,49.46,49.3,49.35,781
2021-02-16 18:51:00,49.45,49.45,49.45,49.45,1646
2021-02-16 18:50:00,49.32,49.32,49.32,49.32,301
2021-02-16 18:48:00,49.3,49.31,49.3,49.31,846
2021-02-16 18:46:00,49.3,49.3,49.3,49.3,209
2021-02-16 18:45:00,49.25,49.25,49.25,49.25,201
2021-02-16 18:43:00,49.3,49.3,49.3,49.3,500
2021-02-16 18:42:00,49.3,49.3,49.3,49.3,394
2021-02-16 18:38:00,49.29,49.29,49.29,49.29,504
2021-02-16 18:36:00,49.26,49.26,49.26,49.26,123
2021-02-16 18:35:00,49.28,49.28,49.28,49.28,116
2021-02-16 18:33:00,49.28,49.28,49.28,49.28,225
2021-02-16 18:30:00,49.28,49.28,49.28,49.28,1257
2021-02-16 18:29:00,49.2,49.2,49.2,49.2,738
2021-02-16 18:28:00,49.2,49.2,49.1801,49.1801,412
2021-02-16 18:27:00,49.18,49.18,49.18,49.18,510
2021-02-16 18:25:00,49.18,49.2,49.18,49.2,288
2021-02-16 18:24:00,49.17,49.17,49.17,49.17,296
2021-02-16 18:20:00,49.21,49.24,49.21,49.24,1398
2021-02-16 18:17:00,49.22,49.22,49.22,49.22,855
2021-02-16 18:16:00,49.17,49.19,49.17,49.19,671
2021-02-16 18:15:00,49.17,49.17,49.17,49.17,592
2021-02-16 18:14:00,49.11,49.11,49.11,49.11,1017
2021-02-16 18:13:00,49.22,49.22,49.22,49.22,184
2021-02-16 18:12:00,49.2199,49.2199,49.2199,49.2199,454
2021-02-16 18:05:00,49.12,49.12,49.12,49.12,544
2021-02-16 17:59:00,49.11,49.11,49.11,49.11,578
2021-02-16 17:58:00,49.12,49.12,49.12,49.12,263
2021-02-16 17:55:00,49.2,49.28,49.2,49.28,1706
2021-02-16 17:54:00,49.2,49.2,49.2,49.2,146
2021-02-16 17:53:00,49.11,49.11,49.1,49.1,1225
2021-02-16 17:51:00,49.11,49.11,49.11,49.11,744
2021-02-16 17:48:00,49.11,49.11,49.11,49.11,433
2021-02-16 17:46:00,49.2,49.2,49.1,49.1,2559
2021-02-16 17:43:00,49.13,49.13,49.1,49.1,3110
2021-02-16 17:42:00,49.18,49.18,49.18,49.18,433
2021-02-16 17:39:00,49.14,49.14,49.14,49.14,496
2021-02-16 17:38:00,49.14,49.14,49.14,49.14,272
2021-02-16 17:34:00,49.26,49.29,49.26,49.29,1061
2021-02-16 17:32:00,49.1,49.1,49.1,49.1,301
2021-02-16 17:31:00,49.11,49.11,49.1,49.11,1562
2021-02-16 17:28:00,49.2,49.2,49.15,49.15,3686
2021-02-16 17:27:00,49.25,49.25,49.25,49.25,971
2021-02-16 17:26:00,49.26,49.26,49.26,49.26,475
2021-02-16 17:20:00,49.26,49.26,49.26,49.26,211
2021-02-16 17:19:00,49.3,49.3,49.25,49.25,898
2021-02-16 17:18:00,49.3,49.3,49.25,49.25,1127
2021-02-16 17:15:00,49.2,49.2,49.2,49.2,214
2021-02-16 17:14:00,49.3,49.3,49.2,49.2,1967
2021-02-16 17:12:00,49.3,49.3,49.3,49.3,330
2021-02-16 17:10:00,49.26,49.26,49.26,49.26,5667
2021-02-16 17:09:00,49.33,49.33,49.26,49.26,1920
2021-02-16 17:02:00,49.35,49.35,49.3499,49.3499,487
2021-02-16 16:59:00,49.3,49.3,49.26,49.27,1105
2021-02-16 16:58:00,49.3,49.3,49.3,49.3,260
2021-02-16 16:57:00,49.3,49.3,49.3,49.3,449
2021-02-16 16:56:00,49.27,49.51,49.27,49.27,6227
2021-02-16 16:55:00,49.35,49.35,49.35,49.35,649
2021-02-16 16:54:00,49.44,49.45,49.44,49.44,1995
2021-02-16 16:53:00,49.4,49.4,49.4,49.4,1417
2021-02-16 16:52:00,49.35,49.35,49.35,49.35,626
2021-02-16 16:51:00,49.38,49.38,49.38,49.38,163
2021-02-16 16:50:00,49.23,49.27,49.15,49.27,1269
2021-02-16 16:49:00,49.3,49.3,49.15,49.15,3988
2021-02-16 16:48:00,49.3,49.3,49.3,49.3,1554
2021-02-16 16:47:00,49.45,49.45,49.45,49.45,768
2021-02-16 16:46:00,49.3,49.3,49.3,49.3,730
2021-02-16 16:45:00,49.3,49.3,49.3,49.3,594
2021-02-16 16:44:00,49.7,49.7,49.2,49.21,8666
2021-02-16 16:43:00,49.75,50.0,49.3,49.41,11396
2021-02-16 16:42:00,49.54,49.75,49.3,49.75,3390
2021-02-16 16:41:00,49.7,49.7,49.7,49.7,321
2021-02-16 16:40:00,49.54,49.6,49.54,49.6,917
2021-02-16 16:39:00,49.56,49.56,49.56,49.56,742
2021-02-16 16:37:00,49.57,49.57,49.57,49.57,373
2021-02-16 16:36:00,49.81,49.9,49.81,49.9,566
2021-02-16 16:35:00,49.57,49.57,49.57,49.57,1103
2021-02-16 16:34:00,49.89,49.9,49.89,49.9,2871
2021-02-16 16:33:00,49.56,49.56,49.56,49.56,580
2021-02-16 16:32:00,49.68,49.68,49.68,49.68,313
2021-02-16 16:31:00,49.59,49.8,49.56,49.56,6489
2021-02-16 16:30:00,49.63,49.63,49.59,49.59,620
2021-02-16 16:28:00,49.55,49.6,49.55,49.6,3624
2021-02-16 16:27:00,49.45,49.55,49.31,49.55,4432
